previous_frame,current_frame
1280550,1280551
1280950,1280951
1280951,1280952
1282755,1282756
1303295,1303296
1303296,1303297
1305488,1305489
1305489,1305490
1305499,1305500
1305500,1305501
1330518,1330519
1330700,1330701
1330771,1330772
1330774,1330775
1330900,1330901
1330907,1330908
1330925,1330926
1330965,1330966
1330966,1330967
1330967,1330968
1331049,1331050
1331142,1331143
1331144,1331145
1331148,1331149
1331151,1331152
1331172,1331173
1331174,1331175
1331176,1331177
1331177,1331178
1331180,1331181
1331187,1331188
1331188,1331189
1331199,1331200
1331200,1331201
1331207,1331208
1331208,1331209
1331212,1331213
1331213,1331214
1331220,1331221
1352216,1352217
1352217,1352218
1352219,1352220
1352551,1352552
1352553,1352554
1352723,1352724
1352724,1352725
1352945,1352946
1352946,1352947
1352962,1352963
1352964,1352965
1353522,1353523
1353523,1353524
1353526,1353527
1353527,1353528
1353547,1353548
1353548,1353549
1353566,1353567
1353567,1353568
1353671,1353672
1353673,1353674
1354434,1354435
1354435,1354436
1354437,1354438
1354438,1354439
1354550,1354551
1363516,1363517
1363529,1363530
1363530,1363531
1363545,1363546
1363546,1363547
1363552,1363553
1363553,1363554
1363585,1363586
1363587,1363588
1363598,1363599
1363599,1363600
1363608,1363609
1363609,1363610
1363613,1363614
1363614,1363615
1363620,1363621
1363621,1363622
1363656,1363657
1363657,1363658
1363744,1363745
1363745,1363746
1363876,1363877
1363877,1363878
1389849,1389850
1389850,1389851
1390005,1390006
1390015,1390016
1390016,1390017
1390022,1390023
1390024,1390025
1390027,1390028
1390028,1390029
1390029,1390030
1390030,1390031
1390032,1390033
1390033,1390034
1390035,1390036
1390206,1390207
1390219,1390220
1390220,1390221
1390223,1390224
1390226,1390227
1390227,1390228
1390231,1390232
1390232,1390233
1390235,1390236
1390238,1390239
1390241,1390242
1390242,1390243
1390244,1390245
1390245,1390246
1390336,1390337
1390343,1390344
1390353,1390354
1390357,1390358
1390358,1390359
1390361,1390362
1390367,1390368
1390373,1390374
1390375,1390376
1390379,1390380
1390389,1390390
1390390,1390391
1390391,1390392
1390392,1390393
1390463,1390464
1390464,1390465
1390465,1390466
1390467,1390468
1390468,1390469
1390475,1390476
1390477,1390478
1390478,1390479
1390480,1390481
1390485,1390486
1390517,1390518
1390518,1390519
1390519,1390520
1390520,1390521
1390533,1390534
1390534,1390535
1390538,1390539
1390539,1390540
1390554,1390555
1390555,1390556
1390563,1390564
1390564,1390565
1390569,1390570
1390571,1390572
1390625,1390626
1390627,1390628
1390639,1390640
1390640,1390641
1390645,1390646
1390656,1390657
1390679,1390680
1390684,1390685
1390688,1390689
1390690,1390691
1390727,1390728
1390739,1390740
1390762,1390763
1391581,1391582
1391663,1391664
1391822,1391823
