first_frame,last_frame
2374247,2374346
2374348,2374365
2374367,2374399
2374401,2374410
2374412,2374413
2374415,2374421
2374423,2374440
2374442,2374456
2374458,2374475
2374477,2374513
2374515,2374531
2374533,2374559
2374561,2374603
2375445,2375499
2375549,2375583
2375596,2375597
2375614,2375616
2375618,2375618
2375926,2375926
2375928,2375942
2375944,2375953
2375957,2375975
2375978,2375980
2375982,2375984
2375986,2375987
2375990,2375993
2375996,2375997
